,PacketsSent,PacketsSentFLC,PacketsSentRO,PacketsReceived,PacketsReceivedFLC,PacketsReceivedRO,PacketsLost(%),PacketsLostFLC(%),PacketsLostRO(%),Jitter,JitterFLC,JitterRO,Latency,LatencyFLC,LatencyRO,PowerConsumed(W),PowerConsumedFLC(W),PowerConsumedRO(W)
T1,2545.0,2475.0,2489.0,1734.0,1979.0,1839.0,31.8664047151277,20.04040404040404,26.114905584572117,0.014119530074040501,0.009414993205340581,0.01582512469503843,0.02815663925094467,0.0316200832214807,0.038911962735416875,7.618205503201208,4.091464597471008,4.112917093554537
T2,3436.0,3469.0,3472.0,2068.0,2960.0,2445.0,39.81373690337602,14.672816373594696,29.579493087557605,0.017007546081811,0.011034701217254266,0.016357907489591584,0.034460451791605555,0.04613866552615289,0.042494596827028566,7.628403817897636,4.113044162037924,4.130034874124423
T3,8335.0,8152.0,8218.0,5075.0,5205.0,5917.0,39.112177564487105,36.15063788027478,27.999513263567778,0.013287514835938333,0.011406414273821568,0.014545252422927368,0.064072018553087,0.05210555058911437,0.09433085399978844,7.7316398090500495,4.14971449351467,4.210469381597621
T4,13089.0,13167.0,12996.0,7384.0,10783.0,5775.0,43.586217434486976,18.105870737449685,55.56325023084026,0.02042953634415425,0.01223199409628056,0.015564804299600688,0.05888616019090723,0.05909691845836737,0.07221978391923001,7.804411235477164,4.240730268101925,4.199209330280633
T5,25938.0,26868.0,26147.0,14526.0,22125.0,20132.0,43.99722414989591,17.652970075926753,23.004551191341264,0.045193029951219856,0.02649058124739927,0.03057983680520907,0.10775390607348262,0.10983338819979088,0.1446337161527233,8.040342244833921,4.45043893654888,4.398283935263787
T6,47308.0,46641.0,45489.0,23241.0,37353.0,29964.0,50.87300245201657,19.91380973821316,34.12913011936952,1.0913615034455109,0.3078018069350071,0.018568369172936885,0.6676196827377133,0.30977005595132756,0.19898618002907437,8.379892979550407,4.690576472303579,4.577617310070703
T7,125938.0,127521.0,124259.0,41372.0,78684.0,71111.0,67.14891454525242,38.2972216340838,42.77195213223992,7.287759380402975,1.4688524304747361,6.890262867388105,16.35476954548856,8.612354705830827,10.094603486542553,9.500768246942668,5.311039424821085,5.402583294830917
T8,115385.0,116919.0,121466.0,57550.0,92660.0,73883.0,50.1234995883347,20.748552416630318,39.17392521364003,0.33071912147583,0.11864249314796553,3.2395031976068442,1.9885811148875767,0.8898249494987409,5.6671720744088026,9.562315009769039,5.439654463434871,5.2835691851656215
T9,255735.0,257723.0,253780.0,43011.0,103883.0,59797.0,83.18141826500089,59.6919948937425,76.43746552131768,8.374510370580216,1.5142037760007243,4.05852943582459,19.53770973587581,15.682028480827022,9.43674820638586,9.596353059822999,5.558212204688076,5.341941989694169
T10,207226.0,192441.0,187354.0,61595.0,115440.0,80107.0,70.27641319139491,40.01278313872823,57.24297319512794,1.9229483401356424,0.33216248643032975,1.330816782449353,4.277283233101723,0.9657111277245585,3.733349576113662,9.651324510435462,5.574270714776829,5.381304991435627
