,PacketsSent,PacketsSentFLC,PacketsSentRO,PacketsReceived,PacketsReceivedFLC,PacketsReceivedRO,PacketsLost(%),PacketsLostFLC(%),PacketsLostRO(%),Jitter,JitterFLC,JitterRO,Latency,LatencyFLC,LatencyRO,PowerConsumed(W),PowerConsumedFLC(W),PowerConsumedRO(W),Th/Wl(%),Th/WlFLC(%),Th/WlRO(%)
T1,10631.0,9908.0,9952.0,10350.0,9632.0,9605.0,2.64321324428558,2.7856277755349215,3.4867363344051445,0.00645529088033325,0.04244905195558935,0.004948939159414567,0.062275014260547504,0.0778044142503965,0.06473468776279033,1.6179203094692904,1.0840085854545427,1.0836683024616662,102.97365362262688,95.97055404881829,96.39674544750096
T2,11016.0,10217.0,10660.0,10785.0,9989.0,10454.0,2.096949891067538,2.2315748262699424,1.9324577861163228,0.0051115469557524995,0.0051238493177741,0.0042157247076132,0.06892313397691249,0.06284417934073949,0.066564491497323,1.620855130091085,1.0863200297812492,1.0901964216729576,104.19977298524404,96.64207340143776,100.83238743851683
T3,31697.0,32486.0,31578.0,28621.0,28507.0,28124.0,9.704388427926933,12.248353136735824,10.937994806510861,0.0080307313671326,0.0951282214054918,0.005578519987194067,0.13454398118295052,0.176814636546656,0.15821286079820032,1.8057096694470014,1.225294548891001,1.222883621250501,100.79819372893213,103.30725688481841,100.41976721999619
T4,43584.0,43341.0,43054.0,28681.0,29372.0,28680.0,34.193740822320116,32.230451535497565,33.385980396711105,0.00802068316412115,0.0055779620672087495,0.004302116082066566,0.145274431480167,0.14594579755638348,0.14845079835986832,1.80784639345275,1.2357854993775428,1.2312051166778322,106.36470128855916,105.77167122217884,105.07126122608356
T5,81572.0,84468.0,76831.0,36471.0,36861.0,35353.0,55.28980532535674,56.360988776814885,53.98602126745715,0.007027072431130849,0.006919645468596,0.005552242555182034,0.16757624236368002,0.167220512234535,0.1929742050198743,1.8884227736272503,1.292371315009791,1.282002420765957,957.4178403755868,991.4084507042254,901.7723004694835
T6,233781.0,244944.0,228797.0,62572.0,62252.0,61994.0,73.23477955864676,74.58521131360638,72.9043650047859,0.0093793408739038,0.0502546913703309,0.0060078678658687665,0.24993872461716005,0.19167690657160333,0.2540853769429166,2.157301377229957,1.4821710364842091,1.4815558415299166,96.88235586645891,101.50847064284056,94.81691144780028
T7,510061.0,470671.0,503114.0,124282.0,125140.0,110792.0,75.63389476944914,73.41242608956149,77.97874835524354,0.7255483453764445,0.2919260313607185,10.836924992074215,6.600206866906951,6.84396512902015,30.741187501402422,2.864860830838332,2.0320797189789572,1.9267229357703324,105.73096966505948,97.56578374591119,104.29092024692484
T8,499231.0,470475.0,500247.0,125087.0,125193.0,120661.0,74.94406397038645,73.39008448908018,75.87971542058223,0.2793328284373165,4.023890794866103,3.5822466015560948,6.74938659154925,9.8809836012869,31.953950562559353,2.871375338291125,2.037098451233959,2.0021911407547504,103.59896905505013,97.63160734444519,103.80980642804967
T9,282032.0,309215.0,348861.0,94343.0,103629.0,103699.0,66.54883133828785,66.48642530278285,70.27498057965781,0.01830896809415585,0.019455841462818653,0.015752277322957767,0.28328159733158004,0.21034298895435,0.38192371360070004,2.4312386829417507,1.7356613328360821,1.7365877270980414,87.51365306325091,95.94845348028994,108.25048406315162
T10,374947.0,384480.0,437663.0,102380.0,107245.0,109848.0,72.69480753279797,72.10648148148148,74.90123679634787,0.0241536778629925,0.022426509407933,0.016774837622513233,0.33897880200077,0.33849745257488,0.3992009160839333,2.5191405866128322,1.7670775364411686,1.785463514064666,92.83164149541966,95.19187917801436,108.35924733845012
