,PacketsSent,PacketsReceived,PacketsLost(%),Jitter,Latency,PowerConsumed(W),Th/Wl(%),PacketsSentRO,PacketsReceivedRO,PacketsLostRO(%),JitterRO,LatencyRO,PowerConsumedRO(W),Th/WlRO(%),PacketsSentFLC,PacketsReceivedFLC,PacketsLostFLC(%),JitterFLC,LatencyFLC,PowerConsumedFLC(W),Th/WlFLC(%)
T1,5886.0,5764.0,2.072714916751614,0.0108979764332078,0.034309181196498,1.5712156853571666,72.81048985650668,5912.0,5853.0,0.9979702300405954,0.004216791875864,0.040461776329434,1.065717144513375,73.1321128154379,5797.0,5703.0,1.6215283767465931,0.0053784653128662666,0.04973585002042833,1.0642222774353323,71.70954972785749
T2,6040.0,5991.0,0.8112582781456954,0.04122962220260877,0.04888024806815633,1.5718193175373736,72.49159865578493,5865.0,5796.0,1.1764705882352942,0.0037565349866261,0.0423270681607,1.0633008321900017,70.39126260201633,5709.0,5650.0,1.0334559467507445,0.0052308603345018,0.033493821939371,1.053617746447541,68.51896303408546
T3,12844.0,12642.0,1.572718779196512,0.028500153198416204,0.06594474445776433,1.6430841977262085,68.58912741642636,13053.0,12838.0,1.6471309277560715,0.0038769701925436,0.08324635717253501,1.160067803965334,69.70522268503684,14434.0,14142.0,2.0230012470555634,0.020622989596084433,0.07075873018987801,1.1196787584767927,77.079995727865
T4,11578.0,11409.0,1.4596648816721367,0.007996564049474467,0.05683452068810333,1.6304557465058318,68.20216776625824,11786.0,11684.0,0.8654335652469031,0.0038460195466221,0.08096495403268901,1.1187486936902908,69.42742695570217,11954.0,11686.0,2.2419273883219004,0.033224886173264134,0.07165471268816499,1.1021188887365838,70.41705937794534
T5,15710.0,15531.0,1.1394016549968173,0.019935525913011832,0.07938450457465367,1.671302275667792,76.55945419103314,14327.0,14287.0,0.2791931318489565,0.0037963281398176,0.097659548648898,1.1492860218817915,69.81968810916179,15010.0,14702.0,2.051965356429047,0.00536773852813265,0.07581922277973066,1.1231142863013324,73.14814814814815
T6,26766.0,26205.0,2.09594261376373,0.0155859437044029,0.11773728268686734,1.7881683455839588,71.75101865751662,26284.0,25662.0,2.3664586820879623,0.006716129236445434,0.169359318489442,1.2104396187594602,70.45893201801415,27233.0,26734.0,1.832335769103661,0.0049039188999474995,0.11329717251440198,1.2821461007426251,73.00289513188935
T7,32078.0,31251.0,2.5780909034229067,0.0129764609651635,0.13258742484335367,1.8441667530679164,72.22497410726348,32647.0,31663.0,3.0140594847918645,0.020187503353912,0.20653037002944,1.3030791534351238,73.50610167965056,32308.0,31739.0,1.7611737031075894,0.008670216829659433,0.14096392242345568,1.3337260758321672,72.74282883775386
T8,22823.0,22353.0,2.059326118389344,0.01581990558337407,0.11052064202942198,1.747680164602999,67.3483238904627,24065.0,23439.0,2.601288177851652,0.0045447185027453,0.19298589843153335,1.1947020639552912,71.01333805476865,25034.0,24470.0,2.2529360070304385,0.005698338095034834,0.11079869543753666,1.2019980835508741,73.87275731822474
T9,14764.0,14651.0,0.7653752370631265,0.010281088944016368,0.05014495370155133,1.6535918049365421,72.8295185477506,16543.0,16437.0,0.6407543976304177,0.0036760844195756,0.11700931378667999,1.1746628754744999,81.60516969218627,15218.0,14970.0,1.6296490997502957,0.021539315954399466,0.07367655210828233,1.1167821322977904,75.06906077348066
T10,16570.0,16348.0,1.3397706698853349,0.015589786403004,0.06672881239222099,1.675484537946833,69.33054393305439,18078.0,17864.0,1.1837592654054652,0.0040315365938799,0.1427489415141,1.1865126111426245,75.64016736401673,18045.0,17622.0,2.344139650872818,0.005459933202075,0.09060755016667033,1.185132178764,75.5020920502092
