,PacketsSent,PacketsSentRO,PacketsSentFLC,PacketsSentFLCAG,PacketsReceived,PacketsReceivedRO,PacketsReceivedFLC,PacketsReceivedFLCAG,PacketsLost(%),PacketsLostRO(%),PacketsLostFLC(%),PacketsLostFLCAG(%),Jitter,JitterRO,JitterFLC,JitterFLCAG,Latency,LatencyRO,LatencyFLC,LatencyFLCAG,PowerConsumed(W),PowerConsumedRO(W),PowerConsumedFLC(W),PowerConsumedFLCAG(W),Th/Wl(%),Th/WlRO(%),Th/WlFLC(%),Th/WlFLCAG(%)
T1,10770.0,9898.0,10334.0,10334.0,10494.0,9564.0,10009.0,10009.0,2.562674094707521,3.3744190745605174,3.1449583897813045,3.1449583897813045,0.048644135124236175,0.0114182019741103,0.04288768171889883,0.04288768171889883,0.07030796516103567,0.06336077875207001,0.07747843790723634,0.07747843790723634,1.6238486621935826,1.0871392903171246,1.0906471898890422,1.0906471898890422,104.32003099573808,95.8736923672995,100.09686168151879,100.09686168151879
T2,10604.0,10756.0,10484.0,10484.0,10410.0,10437.0,10231.0,10231.0,1.8294983025273481,2.965786537746374,2.413201068294544,2.413201068294544,0.005218501294554467,0.027127111430709467,0.023463964918623136,0.023463964918623136,0.04832439606224,0.07581754732878433,0.07360085248035933,0.07360085248035933,1.6199535967722076,1.092181635790458,1.0905850047770818,1.0905850047770818,100.30268634127884,101.74044646235339,99.16761256148317,99.16761256148317
T3,32344.0,31608.0,31943.0,31943.0,28753.0,28307.0,28408.0,28408.0,11.10252287905021,10.443558592761326,11.066587358732743,11.066587358732743,0.018823631544264634,0.0134903773295756,0.01602012834513,0.01602012834513,0.11277286207969733,0.16197048280872198,0.130380640716654,0.130380640716654,1.81780456739696,1.233733028246085,1.235132341387875,1.235132341387875,102.85568911785283,100.51516886090441,101.58048718437958,101.58048718437958
T4,42192.0,44179.0,44911.0,44911.0,29151.0,28682.0,30293.0,30293.0,30.908703071672356,35.077751873061864,32.54881877491038,32.54881877491038,0.024570116079610835,0.029674806626235797,0.023017850820153448,0.023017850820153448,0.11718733264652333,0.16029023110393134,0.15296714677546966,0.15296714677546966,1.8214836719497498,1.2397564343697922,1.2515386482172497,1.2515386482172497,102.96759078484966,107.81677079265911,109.60318235064427,109.60318235064427
T5,85447.0,79857.0,83557.0,83557.0,35550.0,36124.0,37343.0,37343.0,58.39526256041757,54.76414090186208,55.30835238220616,55.30835238220616,0.0087896560861203,0.011442218399376201,0.010854165741708801,0.010854165741708801,0.11642034529277666,0.19450701948916668,0.12103786954968333,0.12103786954968333,1.890089629010625,1.2983727659784166,1.3061549449789993,1.3061549449789993,1002.8990610328639,937.2887323943662,980.7159624413146,980.7159624413146
T6,234922.0,238537.0,243383.0,243383.0,61959.0,61936.0,61892.0,61892.0,73.62571406679663,74.03505535828823,74.57012198879954,74.57012198879954,0.016902529295883765,0.006183150397128701,0.0114288538666744,0.0114288538666744,0.19309722051421666,0.28231733627871003,0.17950957230242334,0.17950957230242334,2.1826454844354997,1.5020602750727903,1.5035979348698334,1.5035979348698334,97.35520339488778,98.8533136624341,100.86156880946855,100.86156880946855
T7,503077.0,492250.0,480404.0,480404.0,114277.0,109374.0,121904.0,121904.0,77.28439185253947,77.78080243778568,74.62469088517165,74.62469088517165,0.299758967100313,10.339921093883111,0.11321919890228065,0.11321919890228065,4.253997313296118,29.35113508744847,4.383720728682984,4.383720728682984,2.887122387947708,1.9280119812728762,2.0395783414213744,2.0395783414213744,104.283250486097,102.03891263520545,99.5833454252986,99.5833454252986
T8,508575.0,513135.0,466149.0,466149.0,123056.0,107885.0,123076.0,123076.0,75.80376542299562,78.97531838599978,73.59728327208683,73.59728327208683,0.28970200304026394,0.02410405203044767,0.6725952992500189,0.6725952992500189,5.435414996126913,0.6637561462820334,5.146201365266333,5.146201365266333,2.886657675584875,1.8057781366623318,2.0483157158318743,2.0483157158318743,105.53800883192775,106.48428680523276,96.73388837240189,96.73388837240189
T9,287398.0,348358.0,310770.0,310770.0,96080.0,103389.0,105416.0,105416.0,66.56900883095916,70.32104903576206,66.07909386362905,66.07909386362905,0.020283246639813932,0.017373611730724697,0.0324727461353431,0.0324727461353431,0.20189620890643434,0.39345946760589334,0.23188086122044002,0.23188086122044002,2.4640528008297906,1.7558787378366238,1.7709264996204999,1.7709264996204999,89.17870618607884,108.09440472644226,96.43096514745308,96.43096514745308
T10,372302.0,433855.0,393125.0,393125.0,100345.0,108422.0,104592.0,104592.0,73.04741849358854,75.00962303073608,73.39472178060413,73.39472178060413,0.02452419000535,0.0221978145226714,0.022751436989209006,0.022751436989209006,0.23635176296899332,0.4289997595257033,0.26830759724017234,0.26830759724017234,2.5262452582067074,1.8094130366619159,1.7820635787107089,1.7820635787107089,92.17677642980937,107.4164397128002,97.33226046051003,97.33226046051003
