,PacketsSentFLC,PacketsReceivedFLC,PacketsLostFLC(%),JitterFLC,LatencyFLC,PowerConsumedFLC(W)
T1,1273.0,15.0,98.8216810683425,0.007874818131033334,0.03822529392835715,0.03842542083341414
T2,1680.0,15.0,99.10714285714286,0.011797205503233333,0.03250770676671429,0.03835823750008179
T3,3997.0,28.0,99.29947460595447,0.021433893534555565,0.051353729201885995,0.03870368750007553
T4,4934.0,26.0,99.47304418321849,0.0122010702074525,0.07026989633204758,0.03903620416670795
T5,13545.0,73.0,99.4610557401255,0.009272781842423767,0.11399293202392817,0.040477004166829526
T6,20150.0,149.0,99.26054590570719,0.008516002689383866,0.17337484202359799,0.041344100000287654
T7,53973.0,169.0,99.68688047727568,0.0046364630544629,0.1313752198491114,0.04092477083362762
T8,41665.0,153.0,99.63278531141246,0.005403368913622833,0.11307252498933998,0.03997131697091542
T9,81607.0,277.0,99.66056833359883,0.007594169164012199,0.11654807750209083,0.04141247584778587
T10,69335.0,503.0,99.27453666979159,0.004704991656387533,0.14196813725829474,0.04395305416746093
