,PacketsSent,PacketsReceived,PacketsLost(%),Jitter,Latency,PowerConsumed(W)
T1,2492.0,2408.0,3.3707865168539324,0.01307104535556563,0.026903779647008828,18.6142327322405
T2,1734.0,1709.0,1.441753171856978,0.0088299762906622,0.020545177047026457,18.586920903095915
T3,2100.0,2046.0,2.5714285714285716,0.010130753410982301,0.026759004989155833,18.60009662254905
T4,1705.0,1681.0,1.4076246334310851,0.008140808068216359,0.023576402849279098,18.586330594686583
T5,1748.0,1733.0,0.8581235697940504,0.008372547889049741,0.02268796766581221,18.58695008702817
T6,1492.0,1470.0,1.4745308310991958,0.008759875613469578,0.028629173099164015,18.583094481701757
T7,2100.0,2046.0,2.5714285714285716,0.010130753410982301,0.026759004989155833,18.60009662254905
T8,1302.0,1286.0,1.228878648233487,0.011400443549654539,0.02485961718874043,18.575545910437125
T9,2082.0,2040.0,2.0172910662824206,0.009851203922537266,0.027089193082471968,18.60021573809921
T10,1354.0,1333.0,1.5509601181683899,0.01040726360793268,0.03138254546570738,18.577075784432335
